,TOT_POP,PCT_U18,PC_18_65,PCT_O65,MALE_FEM
1,1753.0,443.509,985.186,324.305,79.0
2,1675.0,509.2,983.225,182.575,87.0
3,1842.0,530.496,1031.52,279.984,84.0
4,7835.0,1958.75,5116.255,759.995,89.0
5,2906.0,717.782,1659.326,528.892,81.1
6,5166.0,976.374,3177.09,1012.536,91.8
7,5863.0,1530.243,3330.184,1002.573,85.2
8,2457.0,614.25,1488.942,353.808,88.3
9,1194.0,248.352,671.028,274.62,83.3
10,4559.0,145.888,4285.46,132.211,136.8
11,1980.0,411.84,1241.46,326.7,89.1
12,1519.0,426.839,943.299,148.862,89.9
13,1003.0,99.297,848.538,55.165,527.8
14,1057.0,262.136,634.2,160.664,86.2
15,9286.0,1885.058,5738.748,1662.194,87.3
16,20714.0,4639.936,11206.274,4867.79,79.9
17,1125.0,312.75,634.5,177.75,88.4
18,2231.0,620.218,1314.059,296.723,86.3
19,1719.0,419.436,1074.375,223.47,91.0
20,1208.0,345.488,746.544,114.76,97.3
21,2060.0,479.98,1225.7,354.32,94.7
22,2081.0,651.353,1186.17,243.477,87.2
23,4272.0,956.928,2661.456,657.888,84.4
24,2745.0,661.545,1786.995,293.715,97.1
25,1708.0,435.54,978.684,293.776,88.3
26,1933.0,373.069,1268.048,291.883,92.8
27,2630.0,689.06,1554.33,386.61,87.7
28,31258.0,7283.114,18254.672,5720.214,93.4
29,1656.0,428.904,1073.088,154.008,95.1
30,1033.0,311.966,571.249,149.785,86.3
31,2995.0,781.695,1788.015,425.29,84.2
32,12249.0,2731.527,7937.352,1580.121,88.8
33,1550.0,455.7,880.4,212.35,86.7
34,22719.0,5407.122,14312.97,2998.908,88.1
35,6591.0,1779.57,3915.054,896.376,84.1
36,4937.0,1298.431,3016.507,626.999,88.6
37,2963.0,678.527,1854.838,429.635,94.3
38,4487.0,1166.62,2898.602,421.778,87.0
39,2624.0,506.432,1868.288,249.28,99.1
40,16310.0,3995.95,9215.15,3098.9,82.9
41,5801.0,1380.638,3370.381,1044.18,86.0
42,7702.0,2025.626,4936.982,739.392,89.7
