"","PLACE","TOT_POP","PCT_U18","PC_18_65","PCT_O65","MALE_FEM"
"1","Adams village                                                                         ",1753,443.509,985.186,324.305,79
"2","Adams Center CDP                                                                      ",1675,509.2,983.225,182.575,87
"3","Addison village                                                                       ",1842,530.496,1031.52,279.984,84
"4","Airmont CDP                                                                           ",7835,1958.75,5116.255,759.995,89
"5","Akron village                                                                         ",2906,717.782,1659.326,528.892,81.1
"6","Albany city                                                                           ",101082,17992.596,67522.776,15465.546,84.2
"7","Albertson CDP                                                                         ",5166,976.374,3177.09,1012.536,91.8
"8","Albion village                                                                        ",5863,1530.243,3330.184,1002.573,85.2
"9","Alden village                                                                         ",2457,614.25,1488.942,353.808,88.3
"10","Alexandria Bay village                                                                ",1194,248.352,671.028,274.62,83.3
"11","Alfred village                                                                        ",4559,145.888,4285.46,132.211,136.8
"12","Allegany village                                                                      ",1980,411.84,1241.46,326.7,89.1
"13","Altamont village                                                                      ",1519,426.839,943.299,148.862,89.9
"14","Altona CDP                                                                            ",1003,99.297,848.538,55.165,527.8
"15","Amenia CDP                                                                            ",1057,262.136,634.2,160.664,86.2
"16","Amityville village                                                                    ",9286,1885.058,5738.748,1662.194,87.3
"17","Amsterdam city                                                                        ",20714,4639.936,11206.274,4867.79,79.9
"18","Andover village                                                                       ",1125,312.75,634.5,177.75,88.4
"19","Angola village                                                                        ",2231,620.218,1314.059,296.723,86.3
"20","Angola on the Lake CDP                                                                ",1719,419.436,1074.375,223.47,91
"21","Apalachin CDP                                                                         ",1208,345.488,746.544,114.76,97.3
"22","Aquebogue CDP                                                                         ",2060,479.98,1225.7,354.32,94.7
"23","Arcade village                                                                        ",2081,651.353,1186.17,243.477,87.2
"24","Ardsley village                                                                       ",4272,956.928,2661.456,657.888,84.4
"25","Arlington CDP                                                                         ",11948,1983.368,8530.872,1445.708,87.1
"26","Armonk CDP                                                                            ",2745,661.545,1786.995,293.715,97.1
"27","Athens village                                                                        ",1708,435.54,978.684,293.776,88.3
"28","Atlantic Beach village                                                                ",1933,373.069,1268.048,291.883,92.8
"29","Attica village                                                                        ",2630,689.06,1554.33,386.61,87.7
"30","Auburn city                                                                           ",31258,7283.114,18254.672,5720.214,93.4
"31","Averill Park CDP                                                                      ",1656,428.904,1073.088,154.008,95.1
"32","Avoca village                                                                         ",1033,311.966,571.249,149.785,86.3
"33","Avon village                                                                          ",2995,781.695,1788.015,425.29,84.2
"34","Babylon village                                                                       ",12249,2731.527,7937.352,1580.121,88.8
"35","Bainbridge village                                                                    ",1550,455.7,880.4,212.35,86.7
"36","Baldwin CDP                                                                           ",22719,5407.122,14312.97,2998.908,88.1
"37","Baldwin Harbor CDP                                                                    ",7899,1753.578,5355.522,797.799,93
"38","Baldwinsville village                                                                 ",6591,1779.57,3915.054,896.376,84.1
"39","Ballston Spa village                                                                  ",4937,1298.431,3016.507,626.999,88.6
"40","Balmville CDP                                                                         ",2963,678.527,1854.838,429.635,94.3
"41","Bardonia CDP                                                                          ",4487,1166.62,2898.602,421.778,87
"42","Barnum Island CDP                                                                     ",2624,506.432,1868.288,249.28,99.1
